input,output
What is the specific HS tariff code mentioned in the text?,HS:2930909079
Which chapter does the HS tariff code HS:2930909079 belong to in the Moroccan customs tariff?,Chapter 29: Organic Chemicals
What type of chemical compound could HS:2930909079 potentially represent?,"Bis (2-chloroethylthiomethyl) oxide, which may or may not be a part of organic thiocompounds"
Is bis (2-chloroethylthiomethyl) oxide explicitly mentioned as covered by the HS tariff code HS:2930909079?,"No, the text only mentions that HS:2930909079 applies to bis (2-chloroethylthiomethyl) oxide, it does not explicitly state that it covers this chemical compound."
What is the specific HS code for bis (2-chloroethylthio)oxide in Moroccan customs tariff?,HS:2930909081
In which chapter of the Moroccan customs tariff is the HS code HS:2930909081 (bis (2-chloroethylthio)oxide) classified?,Chapter 29: Organic Chemicals
What type of organic compounds may HS code HS:2930909081 (bis (2-chloroethylthio)oxide) be associated with in the Moroccan customs tariff?,Organic thiocompounds
What is the first level of classification for bis (2-chloroethylthio)oxide in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for diethyl phosphorothioate of 0,0 and S [2-(diethylamino) ethyl] and its alkylated or protonated salts in Moroccan customs?",HS:2930909082
Which chapter does the HS code 2930909082 belong to in Moroccan customs?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2930909082 represent in Moroccan customs?,"Diethyl phosphorothioate of 0,0 and S [2-(diethylamino) ethyl] and its alkylated or protonated salts"
"What is the first level of classification for diethyl phosphorothioate of 0,0 and S [2-(diethylamino) ethyl] and its alkylated or protonated salts in Moroccan customs?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for N,N2-dialkyl (methyl, n-propyl or isopropyl) aminoethanethiols and their protonated salts, which may or may not be part of organic thiocompounds?",HS:2930909085
In which chapter of the Moroccan Customs Tariff is the HS code 2930909085 classified?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code 2930909085 represent in the Moroccan Customs Tariff?,"N,N2-dialkyl (methyl, n-propyl or isopropyl) aminoethanethiols and their protonated salts, which may or may not be part of organic thiocompounds"
"What is the first level of classification for N,N2-dialkyl (methyl, n-propyl or isopropyl) aminoethanethiols and their protonated salts, which may or may not be part of organic thiocompounds in the Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for ethyldithiophosphonate of O-ethyl and S-phenyl (fonofos) in Moroccan Customs?,HS:2930909089
Which chapter does the HS code HS:2930909089 belong to in Moroccan Customs?,Chapter 29: Organic Chemicals
What type of compound is represented by the HS code HS:2930909089 in Moroccan Customs?,"Thiocompounds, specifically ethyldithiophosphonate of O-ethyl and S-phenyl (fonofos)"
What is the first level of classification for thiocompounds in Moroccan Customs?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for a container with a phosphorus atom bound to a methyl, ethyl, n-propyl, or isopropyl group, which may or may not be part of thiocompounds?",HS:2930909091
In which chapter of the Moroccan customs tariff does the HS code 2930909091 fall?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code 2930909091 represent in customs tariff classification?,"Containers with a phosphorus atom bound to a methyl, ethyl, n-propyl, or isopropyl group, which may or may not be part of thiocompounds"
"What is the first level of classification for containers with a phosphorus atom bound to a methyl, ethyl, n-propyl, or isopropyl group, which may or may not be part of thiocompounds in customs tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code provided for other products in the Thiocompounds organic group?,HS:2930909095
In which chapter of the Moroccan Customs Tariff is the HS code 2930909095 classified?,Chapter 29: Organic Chemicals
What type of products does the HS code 2930909095 represent in the Moroccan Customs Tariff classification?,Other products that may or may not be part of the Thiocompounds organic group
What is the first level of classification for the HS code 2930909095 in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Tetramethyllead and Tetraethyllead in Moroccan customs tariff?,2931100000
In which chapter of the Moroccan customs tariff is the HS code 2931100000 located?,Chapter 29: Organic Chemicals
Which organometallic compounds does the HS code 2931100000 specifically pertain to in Moroccan customs tariff?,Tetramethyllead and Tetraethyllead
What is the first level of classification for Tetramethyllead and Tetraethyllead in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Tributylétain compounds in Moroccan customs tariff?,HS:2931200000
In which chapter of the Moroccan customs tariff are Tributylétain compounds classified?,Chapter 29: Organic Chemicals
What type of compounds do Tributylétain compounds belong to in the Moroccan customs tariff classification?,Tributylétain compounds are classified as Other organo-inorganic compounds.
What is the first level of classification for Tributylétain compounds in Moroccan customs tariff?,HS:29 - Chapter 29: Organic Chemicals
What is the specific HS code for Dimethyl Methylphosphonate?,HS:2931410000
In which chapter of the Moroccan Customs Tariff is Dimethyl Methylphosphonate (HS code HS:2931410000) located?,Chapter 29: Organic Chemicals
Is Dimethyl Methylphosphonate included in the category of Other Organo-inorganic Compounds?,Dimethyl Methylphosphonate may or may not be included in Other Organo-inorganic Compounds
What type of information does the HS code HS:2931410000 represent?,Dimethyl Methylphosphonate in customs tariff classification
What is the specific HS code for Dimethyl Propylphosphonate?,HS:2931420000
In which chapter of the Moroccan Customs Tariff is Dimethyl Propylphosphonate (HS:2931420000) classified?,Chapter 29: Organic Chemicals
Is Dimethyl Propylphosphonate (HS:2931420000) included in Other Organo-inorganic Compounds?,Dimethyl Propylphosphonate may or may not be included in Other Organo-inorganic Compounds
What type of product does the HS code HS:2931420000 represent according to the Moroccan Customs Tariff?,Dimethyl Propylphosphonate
What is the specific HS code for Diethyl Ethylphosphonate in the Moroccan Customs Tariff?,HS:2931430000
In which chapter of the Moroccan Customs Tariff is the HS code HS:2931430000 for Diethyl Ethylphosphonate located?,Chapter 29: Organic Chemicals
What type of organic compounds does the HS code HS:2931430000 for Diethyl Ethylphosphonate represent in the Moroccan Customs Tariff?,Other Organo-inorganic Compounds (may or may not be included)
What is the first level of classification for Diethyl Ethylphosphonate in the Moroccan Customs Tariff with HS code HS:2931430000?,29 - Chapter 29: Organic Chemicals
What is the HS code for Methylphosphonic acid in the Moroccan Customs?,HS:2931440000
In which chapter of the Moroccan Customs is Methylphosphonic acid classified?,Chapter 29: Organic Chemicals
What type of compound does the HS code HS:2931440000 pertain to?,Methylphosphonic acid
Is Methylphosphonic acid included in Other Organometallic compounds in the Moroccan Customs?,Methylphosphonic acid may or may not be included in Other Organometallic compounds
"What is the specific HS code for Methylphosphonic acid dicyclohexyl ester and N,N'-methylenebis[N-(1-hydroxycyclohexyloxycarbonyl)amine] (1:1)?",HS:2931450000
Which chapter in the Moroccan customs tariff classification does the HS code 2931450000 belong to?,Chapter 29: Organic chemicals
What type of compounds are represented by the HS code 2931450000 in Moroccan customs tariff classification?,Other organoinorganic compounds
"What is the first level of classification for Methylphosphonic acid dicyclohexyl ester and N,N'-methylenebis[N-(1-hydroxycyclohexyloxycarbonyl)amine] (1:1) in Moroccan customs tariff?",29 - Chapter 29: Organic chemicals
"What is the specific HS code for 2,4,6-Trioxide of 2,4,6-tripropyl-1,3,5,2,4,6-trioxatriphosphinane?",HS:2931460000
In which chapter of the Moroccan Customs Tariff is the HS code HS:2931460000 classified?,Chapter 29: Organic Chemicals
What type of compound does the HS code HS:2931460000 represent in the customs tariff classification?,"2,4,6-Trioxide of 2,4,6-tripropyl-1,3,5,2,4,6-trioxatriphosphinane"
"What is the first level of classification for 2,4,6-Trioxide of 2,4,6-tripropyl-1,3,5,2,4,6-trioxatriphosphinane in customs tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for (5éthyl2méthyl2oxido1,3,2dioxaphosphinan5yl) methyl methyl methylphosphonate?",HS:2931470000
In which chapter of the Moroccan customs tariff is HS:2931470000 classified?,Chapter 29: Organic Chemicals
What type of organoinorganic compound does the HS code HS:2931470000 represent?,"(5éthyl2méthyl2oxido1,3,2dioxaphosphinan5yl) methyl methyl methylphosphonate"
"What is the first level of classification for (5éthyl2méthyl2oxido1,3,2dioxaphosphinan5yl) methyl methyl methylphosphonate in customs tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for 3,9-Dioxide of 3,9-dimethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5] undecane?",HS:2931480000
Which chapter in the Moroccan customs tariff does the HS code 2931480000 belong to?,Chapter 29: Organic chemicals
What type of organic compounds does the HS code 2931480000 represent in Moroccan customs tariff classification?,Other organoinorganic compounds
"What is the first level of classification for 3,9-Dioxide of 3,9-dimethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5] undecane in Moroccan customs tariff?",29 - Chapter 29: Organic chemicals
What is the exact HS code referred to in the text?,HS:2931490010
Under which chapter does the HS code HS:2931490010 fall in Moroccan Customs Tariff?,Chapter 29: Organic Chemicals
What is the description of the HS code HS:2931490010 in Moroccan Customs Tariff?,"Sodium methylphosphonate (trihydroxysilyl)propyl, which may or may not be included in other organoinorganic compounds"
Is the HS code HS:2931490010 included in any other organoinorganic compounds?,The text mentions that sodium methylphosphonate (trihydroxysilyl)propyl may or may not be included in other organoinorganic compounds.
"What is the specific HS code for bis(5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl) methyl methylphosphonate?",HS:2931490020
Under which chapter is the HS code 2931490020 classified in the Moroccan customs tariff?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2931490020 in customs tariff classification?,Other organoinorganic compounds
"What is the first level of classification for bis(5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl) methyl methylphosphonate in customs tariff?",29 - Chapter 29: Organic Chemicals
"What is the HS code for N,N dialkyl (methyl, ethyl, n-propyl or isopropyl) phosphoramidocyanidates of 0 alkyl (≤ C10, including cycloalkyle), which may or may not be part of other organoinorganic compounds in the Moroccan Customs?",HS:2931490030
In which chapter of the Moroccan Customs is the HS code 2931490030 located?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2931490030 represent in the Moroccan Customs?,"N,N dialkyl (methyl, ethyl, n-propyl or isopropyl) phosphoramidocyanidates of 0 alkyl (≤ C10, including cycloalkyle), which may or may not be part of other organoinorganic compounds"
"What is the first level of classification for N,N dialkyl (methyl, ethyl, n-propyl or isopropyl) phosphoramidocyanidates of 0 alkyl (≤ C10, including cycloalkyle), which may or may not be part of other organoinorganic compounds in the Moroccan Customs?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for hydrogensuccinic acid esters of (methyl, ethyl, n-propyl or isopropyl) dialkyl amines, with the alkyl group being C10 or less, including cycloalkyle?",HS:2931490040
Which chapter in the Moroccan customs tariff classification does the HS code 2931490040 belong to?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code 2931490040 in Moroccan customs tariff classification?,"Hydrogensuccinic acid esters of (methyl, ethyl, n-propyl or isopropyl) dialkyl amines, with the alkyl group being C10 or less, including cycloalkyle"
"What is the first level of classification for hydrogensuccinic acid esters of (methyl, ethyl, n-propyl or isopropyl) dialkyl amines, with the alkyl group being C10 or less, including cycloalkyle in Moroccan customs tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for other Organophosphorus halogenated derivatives?,HS:2931490090
In which chapter of the Moroccan Customs is the HS code 2931490090 located?,Chapter 29: Organic chemicals
What type of compounds do the HS code 2931490090 represent in the Moroccan Customs tariff classification?,Other Organophosphorus halogenated derivatives
What is the first level of classification for other Organophosphorus halogenated derivatives in the Moroccan Customs tariff?,29 - Chapter 29: Organic chemicals
What is the specific HS code for Methylphosphonic dichloride?,HS:2931510000
Which chapter in the customs tariff classification does the HS code 2931510000 belong to?,Chapter 29: Organic chemicals
Is Methylphosphonic dichloride included in the category of Other organoinorganic compounds?,"Yes, Methylphosphonic dichloride may be included in Other organoinorganic compounds"
What is the first level of classification for Methylphosphonic dichloride in customs tariff?,29 - Chapter 29: Organic chemicals
What is the specific HS code for Propylphosphonic dichloride?,HS:2931520000
In which chapter of the Moroccan customs tariff is Propylphosphonic dichloride (HS:2931520000) classified?,Chapter 29: Organic chemicals
What type of organoinorganic compounds does the HS code 2931520000 represent in customs tariff classification?,Propylphosphonic dichloride
Which subcategory of organic chemicals does Propylphosphonic dichloride (HS:2931520000) fall under in customs tariff?,Other organoinorganic compounds - Heading 2931
What is the specific HS code for (3-chloropropyl) O-phosphorothioate O of [4-nitro-3-(trifluoromethyl)phenyl]?,HS:2931530000
In which chapter of the Moroccan Customs Tariff is the HS code HS:2931530000 classified?,Chapter 29: Organic Chemicals
What type of organo-inorganic compound does the HS code HS:2931530000 represent in the customs tariff classification?,(3-chloropropyl) O-phosphorothioate O of [4-nitro-3-(trifluoromethyl)phenyl]
What is the first level of classification for (3-chloropropyl) O-phosphorothioate O of [4-nitro-3-(trifluoromethyl)phenyl] in the customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code referred to in the text?,HS:2931540000
Which chapter in the Moroccan Customs Tariff does the HS code 2931540000 belong to?,Chapter 29: Organic Chemicals
What compound is represented by the HS code 2931540000 in customs tariff classification?,Trichlorfon (ISO)
Is Trichlorfon (ISO) included in Other Organoinorganic Compounds according to the HS code 2931540000?,The text does not provide enough information to confirm whether Trichlorfon (ISO) is included in Other Organoinorganic Compounds
"What is the HS code for alkyl phosphonofluoridates of alkyl (≤ C10, including cycloalkyle) that may or may not be part of other organoinorganic compounds?",HS:2931590010
In which chapter of the Moroccan customs tariff is the HS code 2931590010 located?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2931590010 represent in customs tariff classification?,"Alkyl phosphonofluoridates of alkyl (≤ C10, including cycloalkyle), which may or may not be part of other organoinorganic compounds"
What is the first level of classification for alkyl phosphonofluoridates in customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for alkyl difluorides (methyl, ethyl, n-propyl or isopropyl) phosphonates?",HS:2931590020
In which chapter of the Moroccan customs department is the HS code 2931590020 classified?,Chapter 29: Organic Chemicals
What kind of organoinorganic compounds does the HS code 2931590020 represent in customs tariff classification?,"Alkyl difluorides (methyl, ethyl, n-propyl or isopropyl) phosphonates"
"What is the first level of classification for alkyl difluorides (methyl, ethyl, n-propyl or isopropyl) phosphonates in customs tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for methylphosphonochloridate of isopropyle?,HS:2931590030
In which chapter of the Moroccan customs tariff is methylphosphonochloridate of isopropyle classified?,Chapter 29: Organic Chemicals
What type of organoinorganic compounds may include methylphosphonochloridate of isopropyle?,Methylphosphonochloridate of isopropyle may or may not be included in other organoinorganic compounds
What is the first level of classification for methylphosphonochloridate of isopropyle in the Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for methylphosphonochloridate of opinalol?,HS:2931590040
In which chapter is the HS code for methylphosphonochloridate of opinalol located in the Moroccan Customs Tariff?,Chapter 29: Organic Chemicals
Is methylphosphonochloridate of opinalol classified under Other Organo-inorganic Compounds or not?,Methylphosphonochloridate of opinalol may or may not be included in Other Organo-inorganic Compounds
What type of compound does the HS code HS:2931590040 represent?,Methylphosphonochloridate of opinalol
"What specific HS code refers to phenylarsonic acids, their substituted derivatives, salts, and esters in the Moroccan Customs Department?",HS:2931900010
In which chapter of the Moroccan Customs Department's tariff classification does HS code 2931900010 belong?,Chapter 29: Organic Chemicals
What type of chemicals are represented by HS code 2931900010 in the Moroccan Customs Department's tariff classification?,"Phenylarsonic acids, their substituted derivatives, salts, and esters"
"What is the first level of classification for phenylarsonic acids, their substituted derivatives, salts, and esters in the Moroccan Customs Department's tariff classification?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for other organic arsenic compounds that may or may not be included in other organic and inorganic compounds?,HS:2931900020
Under which chapter is the HS code 2931900020 classified in the Moroccan customs tariff?,Chapter 29: Organic Chemicals
What type of chemical substances does the HS code 2931900020 represent in the customs tariff classification?,Other organic arsenic compounds
What is the first level of classification for other organic arsenic compounds in customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for alkyl phosphonofluoridates and N,N dialkyl phosphoramidocyanidates of 0alkyl?",HS:2931900050
Which chapter in the Moroccan Customs Tariff does the HS code 2931900050 belong to?,Chapter 29: Organic Chemicals
What type of compounds are represented by the HS code 2931900050 in Moroccan Customs Tariff?,"Organosilicon compounds, specifically alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates of 0alkyl; and N,N dialkyl (methyl, ethyl, n-propyl or isopropyl) phosphoramidocyanidates of 0alkyl"
"What is the first level of classification for alkyl phosphonofluoridates and N,N dialkyl phosphoramidocyanidates of 0alkyl in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for 2-chlorovinyldichloroarsine, bis(2-chlorovinyl) chloroarsine, or tris(2-chlorovinyl) arsine?",HS:2931900060
Which chapter in the Moroccan customs tariff does the HS code 2931900060 belong to?,Chapter 29: Organic Chemicals
What type of organo-inorganic compounds does the HS code 2931900060 represent in customs tariff classification?,"2-chlorovinyldichloroarsine, bis(2-chlorovinyl) chloroarsine, or tris(2-chlorovinyl) arsine"
"What is the first level of classification for 2-chlorovinyldichloroarsine, bis(2-chlorovinyl) chloroarsine, or tris(2-chlorovinyl) arsine in customs tariff?",29 - Chapter 29: Organic Chemicals
"What is the HS code for a container with a phosphorus atom bound to a methyl, ethyl, n-propyl, or isopropyl group, and no other carbon atoms present?",HS:2931900091
Which chapter in the Moroccan Customs tariff classification does the HS code 2931900091 belong to?,Chapter 29: Organic Chemicals
What type of organometallic compounds does the HS code 2931900091 represent in the Moroccan Customs tariff classification?,"Organometallic compounds with a phosphorus atom bound to a methyl, ethyl, n-propyl, or isopropyl group, and no other carbon atoms present"
"What is the first level of classification for organometallic compounds with a phosphorus atom bound to a methyl, ethyl, n-propyl, or isopropyl group, and no other carbon atoms present in the Moroccan Customs tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for Tetrahydrofuran in Morocco's customs tariff?,HS:2932110000
Which chapter in the customs tariff classification does the HS code 2932110000 belong to?,Chapter 29: Organic chemicals
What type of compounds does the HS code 2932110000 represent in customs tariff classification?,"Heterocyclic compounds with oxygen heteroatom(s) exclusively, consisting of a non-condensed furan ring (hydrogenated or not)"
What is the first level of classification for Tetrahydrofuran in customs tariff?,29 - Chapter 29: Organic chemicals
What is the specific HS code for Furaldehyde (furfural) in Moroccan customs?,HS:2932120000
Which chapter in the customs tariff classification does the HS code 2932120000 belong to?,Chapter 29: Organic Chemicals
What type of compound does the HS code 2932120000 represent in customs tariff classification?,"Heterocyclic compounds with oxygen heteroatom(s) only, composed of a non-condensed furan ring (hydrogenated or not)"
"Is Furaldehyde (furfural) included in the category of Heterocyclic compounds with oxygen heteroatom(s) only, composed of a non-condensed furan ring (hydrogenated or not) according to the HS code 2932120000?",Yes
What specific HS tariff code applies to Furfuryl alcohol and Tetrahydrofurfuryl alcohol in Moroccan customs?,HS:2932130000
Which chapter in the Moroccan customs tariff classification does the HS code 2932130000 belong to?,Chapter 29: Organic Chemicals
What type of compounds does the HS code 2932130000 represent in Moroccan customs tariff classification?,Furfuryl alcohol and Tetrahydrofurfuryl alcohol
Does the HS code 2932130000 include heterocyclic compounds with oxygen heteroatom(s) exclusively?,"Maybe, as it is not explicitly stated but within the context of the information provided it could be included"
What is the specific HS code for Sucralose in Moroccan customs department?,HS:2932140000
In which chapter of the Moroccan customs department does the HS code HS:2932140000 fall under?,Chapter 29: Organic chemicals
What type of organic compounds does the HS code HS:2932140000 represent in Moroccan customs tariff classification?,"Sucralose, which may or may not be included in the category of Heterocyclic compounds with oxygen heteroatom(s) only, and are structures that contain an uncondensed furan ring (hydrogenated or not)"
What is the first level of classification for Sucralose in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What specific type of chemical does the HS code HS:2932190000 represent in Moroccan customs?,Other Lactones
In which chapter of the Moroccan customs tariff classification is the HS code HS:2932190000 included?,Chapter 29: Organic Chemicals
What is the category of chemicals that the HS code HS:2932190000 falls under in Moroccan customs tariff classification?,Other Lactones - Heading 2932
Could the HS code HS:2932190000 be associated with Heterocyclic Compounds with oxygen heteroatom(s) exclusively in Moroccan customs tariff classification?,Yes
"What is the specific HS code for coumarin, methylcoumarins, and ethylcoumarins in Morocco's customs tariff?",HS:2932201000
Which chapter in the Moroccan customs tariff does the HS code 2932201000 belong to?,Chapter 29: Organic Chemicals
What type of compounds are represented by the HS code 2932201000 in Moroccan customs tariff?,"Coumarin, methylcoumarins, and ethylcoumarins, non-condensed furan compounds (whether hydrogenated or not), and heterocyclic compounds with oxygen atoms as the sole heteroatom(s)"
"What is the first level of classification for coumarin, methylcoumarins, and ethylcoumarins in Moroccan customs tariff?",29 - Chapter 29: Organic Chemicals
What specific HS code refers to santonine in Morocco's customs?,HS:2932209010
Which chapter does the HS code HS:2932209010 belong to in Morocco's customs?,Chapter 29: Organic Chemicals
What type of compound does the HS code HS:2932209010 represent in Morocco's customs?,"Santonine, which may or may not be included in the category of Heterocyclic compounds with oxygen heteroatoms(s) exclusively, and consists of non-condensed furan rings (with or without hydrogen)"
What is the first level of classification for santonine in Morocco's customs tariff?,29 - Chapter 29: Organic Chemicals
Does the HS code HS:2932209020 relate to a heterocyclic compound?,"Yes, the HS code HS:2932209020 may pertain to a heterocyclic compound."
What is the condition for the HS code HS:2932209020 regarding the presence of oxygen as the sole heteroatom?,The HS code HS:2932209020 may or may not relate to a compound where oxygen is the only heteroatom.
What is the structural feature associated with the HS code HS:2932209020 in Moroccan customs duty?,The HS code HS:2932209020 is associated with phenolphthalein or compounds that include an uncondensed furan ring in chapter 29 of Moroccan customs duty.
Which chapter in the Moroccan customs duty does the HS code HS:2932209020 belong to?,"The HS code HS:2932209020 falls under chapter 29 of Moroccan customs duty, which is Organic chemicals."
What is the specific HS code for Isosafrole?,2932910000
Which chapter in the Moroccan Customs Department does the HS code 2932910000 belong to?,Chapter 29: Organic Chemicals
What type of compound does the HS code 2932910000 represent in customs tariff classification?,"Isosafrole, which may or may not be one of the Heterocyclic compounds with oxygen heteroatom(s) exclusively, and are compounds whose structure includes an uncondensed furan ring (with or without hydrogen)"
What is the first level of classification for Isosafrole in customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for 1-(1,3-benzodioxol-5-yl)propane-2-one?",2932920000
Which chapter in the Moroccan customs does the HS code 2932920000 belong to?,Chapter 29: Organic chemicals
What type of compound does the HS code 2932920000 represent in the Moroccan customs tariff classification?,"Heterocyclic compounds with oxygen heteroatoms exclusively, or compounds whose structure includes an uncondensed furan ring (hydrogenated or not)"
"What is the first level of classification for 1-(1,3-benzodioxol-5-yl)propane-2-one in Moroccan customs tariff?",29 - Chapter 29: Organic chemicals
What is the specific HS code for Pipéronal?,HS:2932930000
Which chapter in the customs tariff classification does the HS code 2932930000 belong to?,Chapter 29: Organic Chemicals
What is the chemical compound represented by the HS code 2932930000 in customs tariff classification?,Pipéronal
Is Pipéronal included in Heterocyclic compounds with oxygen heteroatoms exclusively according to the given HS code?,"Not explicitly stated, but it may not be included as no mention of heterocyclic compounds is made in the HS code"
What is the specific HS code for Safrole according to Moroccan customs?,HS:2932940000
Which chapter in the Moroccan customs tariff classification does the HS code 2932940000 belong to?,Chapter 29: Organic Chemicals
What type of organic chemical is represented by the HS code 2932940000 in Moroccan customs tariff classification?,Safrole
Does the HS code 2932940000 for Safrole indicate it is a heterocyclic compound with oxygen heteroatoms exclusively?,"Yes, it may be a part of the Heterocyclic compounds with oxygen heteroatoms(s) exclusively."
What is the specific HS code for Tetrahydrocannabinols (all isomers) that are heterocyclic compounds with oxygen heteroatom(s) exclusively and have a non-condensed furan ring in their structure?,HS:2932950000
Which chapter in the Moroccan Customs Tariff does the HS code HS:2932950000 belong to?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code HS:2932950000 in the Moroccan Customs Tariff?,Tetrahydrocannabinols (all isomers) that are heterocyclic compounds with oxygen heteroatom(s) exclusively and have a non-condensed furan ring in their structure
What is the first level of classification for Tetrahydrocannabinols (all isomers) that are heterocyclic compounds with oxygen heteroatom(s) exclusively and have a non-condensed furan ring in their structure in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Carbofuran (ISO) in Moroccan customs?,HS:2932960000
Which chapter in the Moroccan customs tariff classification does the HS code HS:2932960000 belong to?,Chapter 29: Organic chemicals
What kind of organic chemical is represented by the HS code HS:2932960000 in Moroccan customs tariff classification?,Carbofuran (ISO)
What is the first level of classification for Carbofuran (ISO) in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What is the specific HS code for benzofuran (coumarone) in the Moroccan customs tariff?,HS:2932990010
Which chapter in the Moroccan customs tariff does the HS code 2932990010 belong to?,Chapter 29: Organic chemicals
What type of compound does the HS code 2932990010 represent in the Moroccan customs tariff?,Benzofuran (coumarone)
Is benzofuran (coumarone) included in the category of Heterocyclic compounds with oxygen heteroatoms exclusively and uncondensed furan ring in Moroccan customs tariff?,"Yes, benzofuran (coumarone) may fall under this category"
What product or products does the HS code HS:2933110000 pertain to?,"Phenazone (antipyrine) and its derivatives, which may or may not be part of Heterocyclic compounds with one or more nitrogen heteroatoms exclusively, Compounds whose structure includes a non-condensed pyrazole ring (whether hydrogenated or not)"
Which chapter in the Moroccan Customs tariff classification does the HS code HS:2933110000 belong to?,Chapter 29: Organic chemicals
What type of organic compounds are represented by the HS code HS:2933110000 in customs tariff classification?,"Phenazone (antipyrine) and its derivatives, which may or may not be part of Heterocyclic compounds with one or more nitrogen heteroatoms exclusively, Compounds whose structure includes a non-condensed pyrazole ring (whether hydrogenated or not)"
What is the first level of classification for Phenazone (antipyrine) and its derivatives in Moroccan Customs tariff?,29 - Chapter 29: Organic chemicals
What type of compounds does the HS code HS:2933190000 refer to in Moroccan Customs Tariff?,"Other Compounds with an uncondensed imidazole ring (whether hydrogenated or not), which may or may not be part of Heterocyclic Compounds with nitrogen heteroatom(s) exclusively. Compounds with an uncondensed pyrazole ring (whether hydrogenated or not) are classified in Chapter 29: Organic Chemicals."
Which chapter in the Moroccan Customs Tariff classification does the HS code HS:2933190000 belong to?,Chapter 29: Organic Chemicals
What kind of subcategory does the HS code HS:2933190000 represent in Chapter 29 of Moroccan Customs Tariff?,"Other Compounds with an uncondensed imidazole ring (whether hydrogenated or not), which may or may not be part of Heterocyclic Compounds with nitrogen heteroatom(s) exclusively. Compounds with an uncondensed pyrazole ring (whether hydrogenated or not) are also classified in this subcategory."
Is the HS code HS:2933190000 applicable for compounds with an uncondensed pyrazole ring?,"Yes, the HS code HS:2933190000 applies to compounds with an uncondensed pyrazole ring (whether hydrogenated or not). They are classified in this subcategory within Chapter 29 of Moroccan Customs Tariff."
What specific category of chemicals does the HS code HS:2933210000 represent in Moroccan customs?,Hydantoins and their derivatives
Is the HS code HS:2933210000 included in the category of Heterocyclic compounds with nitrogen atom(s) only in Moroccan customs?,"Yes, it is included"
Does the HS code HS:2933210000 involve compounds with a non-condensed pyrazole ring in Moroccan customs?,"Yes, it does"
Which chapter of the Moroccan customs tariff classification does the HS code HS:2933210000 belong to?,Chapter 29: Organic Chemicals
What type of compounds does the HS code HS:2933290000 apply to?,"Other Compounds that have a non-condensed pyridine ring (whether hydrogenated or not) in their structure, which may or may not be part of Heterocyclic Compounds with nitrogen atoms only."
In which chapter does the HS code HS:2933290000 fall under in the Moroccan Customs Tariff?,Chapter 29: Organic Chemicals
What is the category of substances represented by the HS code HS:2933290000 in the customs tariff classification?,"Other Compounds that have a non-condensed pyridine ring (whether hydrogenated or not) in their structure, which may or may not be part of Heterocyclic Compounds with nitrogen atoms only."
What is the first level of classification for compounds with a non-condensed pyridine ring (whether hydrogenated or not) in the customs tariff?,29 - Chapter 29: Organic Chemicals
What product does the HS code HS:2933310000 apply to?,"Pyridine and its salts, which may or may not be included in Heterocyclic Compounds with heteroatom(s) consisting exclusively of Nitrogen. These are compounds whose structure includes a non-condensed pyrazole ring (whether hydrogenated or not)."
