question,agent1,agent2,agent3,final_answer
Which chapter in the Moroccan customs department does the HS code HS:2921490090 belong to?,"(HScodeFinder) The HS code HS:2921490090 is classified under Chapter 29, which is dedicated to organic chemicals.","(ChapterClassifier) The chapter classification for HS code HS:2921490090 is Chapter 29, which is specifically for organic chemicals.","(ProductIdentifier) The HS code HS:2921490090 belongs to Chapter 29, which is categorized under organic chemicals in the Moroccan customs department.",Chapter 29: Organic chemicals
What type of products does the HS code HS:2921490090 represent according to the text?,"(HScodeFinder) The HS code HS:2921490090 is classified under the category of other aromatic polyamines and their derivatives, including salts of these products.","(ChapterClassifier) The HS code HS:2921490090 falls under Chapter 29, which covers organic chemicals, including aromatic polyamines and their derivatives.","(ProductIdentifier) The HS code HS:2921490090 refers to other aromatic polyamines and their derivatives, which are chemical compounds used in various industrial applications.",other Aromatic polyamines and their derivatives; salts of these products which may or may not be part of Monoacyclic amine compounds and their derivatives; salts of these products
What is the first level of classification for the HS code HS:2921490090 according to the text?,"(HScodeFinder) The HS code HS:2921490090 is identified as belonging to Chapter 29, which is categorized under Organic Chemicals.","(ChapterClassifier) Chapter 29 is classified under the broader category of Organic Chemicals, which includes a wide range of compounds such as alcohols, esters, and other derivatives.","(ProductIdentifier) The HS code HS:2921490090 refers to specific organic chemicals, including but not limited to alcohols and esters, which are commonly used in various industrial applications.",HS code HS:29 - Chapter 29: Organic chemicals
"What is the specific HS code for Phenylenediamines and their derivatives; salts of these products which may or may not be included in Compounds with monoamine functional group, acyclic and their derivatives; salts of these products?",(HScodeFinder) The HS code for Phenylenediamines and their derivatives is HS:2921510010.,"(ChapterClassifier) The HS code HS:2921510010 falls under Chapter 29, which covers Organic chemicals.","(ProductIdentifier) Phenylenediamines and their derivatives are classified under HS code 2921510010, which is part of Chapter 29.",HS:2921510010
In which chapter of the Moroccan customs tariff is the HS code 2921510010 located?,"(HScodeFinder) The HS code 2921510010 is located in Chapter 29 of the Moroccan customs tariff, which is classified under Organic chemicals.","(ChapterClassifier) Chapter 29 of the Moroccan customs tariff is classified as Organic chemicals, which includes a wide range of organic compounds and derivatives.","(ProductIdentifier) The HS code 2921510010 refers to specific organic chemicals, which are categorized under Chapter 29 of the Moroccan customs tariff.",Chapter 29: Organic chemicals
What type of products does the HS code 2921510010 represent in the Moroccan customs tariff classification?,"(HScodeFinder) The HS code 2921510010 is classified under the chapter of Compounds with monoamine functional group, acyclic and their derivatives, which includes Phenylelenediamines and their derivatives.","(ChapterClassifier) The chapter classification for HS code 2921510010 falls under Chapter 29, which is for Organic chemicals, including those derived from petroleum, coal, or other mineral sources.","(ProductIdentifier) The products represented by HS code 2921510010 are Phenylenediamines and their derivatives, which are used in the production of dyes, pigments, and other chemical intermediates.","Phenylenediamines and their derivatives; salts of these products which may or may not be included in Compounds with monoamine functional group, acyclic and their derivatives; salts of these products"
"What is the first level of classification for Phenylenediamines and their derivatives; salts of these products which may or may not be included in Compounds with monoamine functional group, acyclic and their derivatives; salts of these products in the Moroccan customs tariff?","(HScodeFinder) The HS code for Phenylenediamines and their derivatives is HS 2901 10 00 00, which falls under Chapter 29.","(ChapterClassifier) Chapter 29 is classified as Organic Chemicals, which includes compounds like Phenylenediamines and their derivatives.","(ProductIdentifier) Phenylenediamines and their derivatives are identified under Chapter 29 of the Moroccan customs tariff, covering organic chemicals.",29 - Chapter 29: Organic chemicals
What product does the HS code HS:2921510020 refer to in Moroccan customs department?,"(HScodeFinder) The HS code HS:2921510020 is classified under the category of compounds containing monoamino function, acyclic, and their derivatives, which include phenylenediamine and its salts.","(ChapterClassifier) The HS code HS:2921510020 falls under Chapter 29, which is dedicated to organic chemicals, including compounds with monoamino function, acyclic, and their derivatives.","(ProductIdentifier) The HS code HS:2921510020 refers to phenylenediamine and its derivatives, which are commonly used in the dyeing and coloring of fabrics, as welled as in the production of certain chemical intermediates.","Phenylenediamine and its derivatives; salts of these products which may or may not be included in Compounds with monoamino function, acyclic and their derivatives; salts of these products."
Which category does the HS code HS:2921510020 fall under in Moroccan customs department?,(HScodeFinder) The HS code HS:2921510020 is classified under the category of Organic chemicals.,"(ChapterClassifier) The HS code HS:2921510020 falls under Chapter 29, which is dedicated to organic chemicals and their derivatives.","(ProductIdentifier) The HS code HS:2921510020 refers to specific organic chemical compounds, such as those used in the production of plastics and other synthetic materials.",Organic chemicals
What is the first level of classification for the HS code HS:2921510020 in Moroccan customs department?,"(HScodeFinder) The HS code HS:2921510020 is classified under Chapter 29, which is for Organic chemicals.","(ChapterClassifier) Chapter 29 in Moroccan customs classification is designated for Organic chemicals, which is the first level of classification.","(ProductIdentifier) The HS code HS:2921510020 falls under the category of Organic chemicals in Chapter 29, which is the first level of classification in Moroccan customs.",29 - Category 29: Organic chemicals
Which subcategory of organic chemicals does the HS code HS:2921510020 fall under in Moroccan customs department?,"(HScodeFinder) The HS code HS:2921510020 is classified under Heading 2921, which is for Compounds with monoamino function, acyclic and their derivatives; salts of these products.","(ChapterClassifier) Heading 2921 falls under Chapter 29, which is for Organic chemicals, including those derived from petroleum, and their derivatives.","(ProductIdentifier) The specific subcategory for HS:2921510020 is Phenylenediamine and its derivatives; salts of these products which may or may not be included in Compounds with monoamino function, acyclic and their derivatives; salts of these products.","Phenylenediamine and its derivatives; salts of these products which may or may not be included in Compounds with monoamino function, acyclic and their derivatives; salts of these products - Heading 2921"
What product or products does the HS code HS:2921510030 represent in Morocco's customs?,"(HScodeFinder) The HS code HS:2921510030 is classified under Chapter 29, which includes compounds containing nitrogen, specifically those with monoamino function.","(ChapterClassifier) Chapter 29 of the HS system covers organic chemicals, including compounds with nitrogen, such as amines and their derivatives.","(ProductIdentifier) The HS code HS:2921510030 specifically refers to Phenylenediamine and its derivatives, along with their salts, which are used in various industrial applications.","Phenylenediamine and its derivatives; salts of these products which may or may not be included in Compounds with monoamino function, acyclic and their derivatives; salts of these products"
In which chapter of Morocco's customs tariff classification is the HS code HS:2921510030 located?,"(HScodeFinder) The HS code HS:2921510030 is classified under Chapter 29, which pertains to Organic Chemicals.","(ChapterClassifier) Chapter 29 in Morocco's customs tariff classification is dedicated to Organic Chemicals, as specified in the HS code.","(ProductIdentifier) The HS code HS:2921510030 falls under Chapter 29, which is categorized under Organic Chemicals in Morocco's customs tariff system.",Chapter 29: Organic Chemicals
What is the category of products covered by the HS code HS:2921510030 in Morocco's customs tariff classification?,"(HScodeFinder) The HS code HS:2921510030 is classified under Chapter 29, which covers organic chemicals and their derivatives, specifically in Heading 2921, which includes compounds with monoamino function, acyclic and their derivatives.","(ChapterClassifier) Chapter 29 of Morocco's customs tariff classification includes organic chemicals and their derivatives, with Heading 2921 specifically covering compounds with monoamino function, acyclic and their derivatives.","(ProductIdentifier) The products covered by HS:2921510030 are compounds with monoamino function, acyclic and their derivatives; salts of these products.","Compounds with monoamino function, acyclic and their derivatives; salts of these products"
Which subcategory of organic chemicals does the HS code HS:2921510030 fall under in Morocco's customs tariff classification?,(HScodeFinder) The HS code HS:2921510030 is identified as a specific entry in Morocco's customs tariff classification.,"(ChapterClassifier) The HS code HS:2921510030 falls under Chapter 29, which is dedicated to organic chemicals and their derivatives.","(ProductIdentifier) The subcategory of organic chemicals for HS code HS:2921510030 is Compounds with monoamino function, acyclic and their derivatives, classified under Heading 2921.","Compounds with monoamino function, acyclic and their derivatives - Heading 2921"
What product does the HS code HS:2921510090 pertain to in Moroccan customs?,"(HScodeFinder) The HS code HS:2921510090 is classified under the chapter of organic chemicals, specifically for diamintoluene and its derivatives.","(ChapterClassifier) The chapter classification for HS:2921510090 falls under Chapter 29, which covers organic chemicals, including derivatives of aromatic hydrocarbons.","(ProductIdentifier) The product identified by HS:2921510090 is diamintoluene and its derivatives, which are used in various industrial applications and may include salts of these compounds.",Diamintoluene and its derivatives; salts of these products which may or may not be included in Compounded with monoamine acyclic functions and their derivatives; salts of these products
In which chapter of the Moroccan customs tariff classification is HS code HS:2921510090 found?,"(HScodeFinder) The HS code HS:2921510090 is classified under Chapter 29, which is dedicated to organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff classification is specifically designated for organic chemicals, including a wide range of compounds such as alcohols, esters, and other derivatives.","(ProductIdentifier) The HS code HS:2921510090 falls under Chapter 29 of the Moroccan customs tariff classification, which covers organic chemicals. This chapter includes various subheadings for different types of organic compounds.",Chapter 29: Organic chemicals
What is the type of organic chemical represented by the HS code HS:2921510090 in Moroccan customs?,"(HScodeFinder) The HS code HS:2921510090 is classified under Chapter 29, which includes organic chemicals containing nitrogen, such as diamintoluene and its derivatives.","(ChapterClassifier) Chapter 29 of the HS system is dedicated to organic chemicals, specifically those containing nitrogen, which aligns with the description of diamintoluene and its derivatives.","(ProductIdentifier) The product identified by HS:2921510090 is diamintoluene and its derivatives, which are organic compounds with nitrogen-containing groups, commonly used in industrial applications.",Diamintoluene and its derivatives; salts of these products which may or may not be included in Compounded with monoamine acyclic functions and their derivatives; salts of these products
What is the first level of classification for diamintoluene and its derivatives in Moroccan customs tariff?,(HScodeFinder) The HS code for diamintoluene and its derivatives is 2901100000.,(ChapterClassifier) Chapter 29 is classified under the category of Organic chemicals.,(ProductIdentifier) Diamintoluene and its derivatives are identified as organic compounds in Chapter 29.,29 - Chapter 29: Organic chemicals
What product does the HS code HS:2921590010 specifically refer to in Moroccan customs?,"(HScodeFinder) The HS code HS:2921590010 is classified under Chapter 29, which includes organic chemicals containing nitrogen, such as amines and their derivatives.","(ChapterClassifier) Chapter 29 of the HS system covers organic chemicals containing nitrogen, including amines, their derivatives, and related compounds.","(ProductIdentifier) The product identified by HS:2921590010 is Alkyphénylène diamines, their halogenated, sulfonated, nitrated or nitrosed derivatives, and their salts.","Alkyphénylène diamines, their halogenated, sulfonated, nitrated or nitrosed derivatives, and their salts which may or may not be included in Compounds with amine function Monoamines acyclic and their derivatives"
Which chapter of the Moroccan customs tariff classification does the HS code HS:2921590010 belong to?,"(HScodeFinder) The HS code HS:2921590010 is classified under Chapter 29, which pertains to Organic Chemicals.","(ChapterClassifier) Chapter 29 of the Moroccan customs tariff classification is dedicated to Organic Chemicals, encompassing a wide range of compounds including alcohols, esters, and other derivatives.","(ProductIdentifier) The HS code HS:2921590010 specifically identifies a category of organic chemicals, which are typically used in industrial and pharmaceutical applications.",Chapter 29: Organic Chemicals
What type of chemicals does the HS code HS:2921590010 represent in Moroccan customs?,"(HScodeFinder) The HS code HS:2921590010 is classified under Chapter 29, which includes organic chemicals containing nitrogen, such as amines and their derivatives.","(ChapterClassifier) Chapter 29 of the HS system covers organic chemicals containing nitrogen, including amines, their derivatives, and related compounds.","(ProductIdentifier) The HS code HS:2921590010 specifically refers to Alkyphénylène diamines, their halogenated, sulfonated, nitrated or nitrosed derivatives, and their salts.","Alkyphénylène diamines, their halogenated, sulfonated, nitrated or nitrosed derivatives, and their salts which may or may not be included in Compounds with amine function Monoamines acyclic and their derivatives"
"What is the first level of classification for alkyphénylène diamines, their halogenated, sulfonated, nitrated or nitrosed derivatives, and their salts in Moroccan customs tariff?",(HScodeFinder) The HS code for alkyphénylène diamines and their derivatives is HS:2901100000.,"(ChapterClassifier) The first level of classification for these products is Chapter 29, which includes organic chemicals.","(ProductIdentifier) Alkyphénylène diamines, their derivatives, and salts fall under Chapter 29 of the Moroccan customs tariff.",29 - Chapter 29: Organic Chemicals
"What specific HS code is given to benzidines and its analogues as well as their halogenated, sulfonated, nitrated or nitrosed derivatives, and their salts in Moroccan customs?",(HScodeFinder) The HS code for benzidines and their derivatives is HS:2921590020.,"(ChapterClassifier) This HS code falls under Chapter 29, which covers organic chemicals.",(ProductIdentifier) Benzidines and their derivatives are classified as organic chemicals in Chapter 29.,HS:2921590020
Which chapter does the HS code 2921590020 belong to in Moroccan customs tariff classification?,"(HScodeFinder) The HS code 2921590020 is classified under Chapter 29, which pertains to organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff classification is dedicated to organic chemicals, including various derivatives and compounds.","(ProductIdentifier) The specific HS code 2921590020 falls under Chapter 29, which covers organic chemicals in the Moroccan customs tariff system.",Chapter 29: Organic chemicals
What type of chemicals are represented by the HS code 2921590020 in Moroccan customs tariff classification?,"(HScodeFinder) The HS code 2921590020 is identified as a specific category in Moroccan customs tariff classification, which includes Benzidines and its analogues as well as their halogenated, sulfonated, nitrated or nitrosed derivatives, and their salts.","(ChapterClassifier) The HS code 2921590020 falls under Chapter 29, which is dedicated to organic chemicals, specifically those containing nitrogen. This chapter includes a wide range of nitrogen-containing compounds, including amines, amides, and other derivatives.","(ProductIdentifier) The chemicals represented by HS code 2921590020 are Benzidines and its analogues along with their various derivatives such as halogenated, sulfonated, nitrated, or nitrosed forms, and their salts.","Benzidines and its analogues as well as their halogenated, sulfonated, nitrated or nitrosed derivatives, and their salts"
"What is the first level of classification for benzidines and its analogues as well as their halogenated, sulfonated, nitrated or nitrosed derivatives, and their salts in Moroccan customs tariff?","(HScodeFinder) The HS code for benzidines and their derivatives is 2901100000, which falls under Chapter 29.","(ChapterClassifier) Chapter 29 is classified as Organic Chemicals, which includes compounds like benzidines and their derivatives.","(ProductIdentifier) Benzidines and their derivatives are identified under Chapter 29, which covers organic chemicals.",29 - Chapter 29: Organic chemicals
What is the specific HS code for diamino-stilbene disulfonic acid and its salts?,(HScodeFinder) The HS code for diamino-stilbene disulfonic acid and its salts is HS:2921590030.,"(ChapterClassifier) The HS code HS:2921590030 falls under Chapter 29, which covers organic chemicals.",(ProductIdentifier) Diamino-stilbene disulfonic acid and its salts are classified as organic chemicals under Chapter 29.,HS:2921590030
In which chapter of the Moroccan customs tariff classification is HS code 2921590030 found?,"(HScodeFinder) The HS code 2921590030 is classified under Chapter 29, which pertains to organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff classification is dedicated to organic chemicals, including various derivatives and compounds.","(ProductIdentifier) The specific HS code 2921590030 falls under Chapter 29, which covers organic chemicals in the Moroccan customs tariff classification.",Chapter 29: Organic chemicals
What type of compounds does the HS code 2921590030 represent in the customs tariff classification?,"(HScodeFinder) The HS code 2921590030 is classified under Chapter 29, which includes compounds containing nitrogen as the principal non-hydrocarbon element.","(ChapterClassifier) Chapter 29 of the customs tariff classification covers organic chemicals containing nitrogen, including monoamine acyclic compounds and their derivatives.",(ProductIdentifier) The HS code 2921590030 specifically refers to monoamine acyclic compounds and their derivatives; salts of these products.,Monoamine acyclic compounds and their derivatives; salts of these products
What is the first level of classification for diamino-stilbene disulfonic acid and its salts in customs tariff?,(HScodeFinder) The HS code for diamino-stilbene disulfonic acid and its salts is 2901100000.,"(ChapterClassifier) The first level of classification for diamino-stilbene disulfonic acid and its salts is Chapter 29, which includes organic chemicals.","(ProductIdentifier) Diamino-stilbene disulfonic acid and its salts are classified under Chapter 29, which covers organic chemicals.",29 - Chapter 29: Organic chemicals
What product does the HS tariff code HS:2922110000 refer to in Moroccan customs?,"(HScodeFinder) The HS code HS:2922110000 is classified under Chapter 29, which includes compounds containing nitrogen, such as amines and their salts.","(ChapterClassifier) Chapter 29 of the HS system is dedicated to organic chemicals, including amines and their derivatives, which aligns with the classification of monoethanolamine.","(ProductIdentifier) The product identified by HS:2922110000 is monoethanolamine and its salts, commonly used in industrial applications and chemical processes.",Monoethanolamine and its salts
Which chapter in the customs tariff classification does the HS code 2922110000 belong to?,"(HScodeFinder) The HS code 2922110000 is classified under Chapter 29, which is dedicated to organic chemicals.",(ChapterClassifier) Chapter 29 in the customs tariff classification is specifically for organic chemicals.,"(ProductIdentifier) The HS code 2922110000 belongs to Chapter 29, which is categorized under organic chemicals.",Chapter 29: Organic chemicals
What type of organic chemicals are represented by the HS code 2922110000 in Moroccan customs?,(HScodeFinder) The HS code 2922110000 is classified under the chapter of organic chemicals containing amino alcohols.,"(ChapterClassifier) The chapter classification for HS code 2922110000 falls under Chapter 29, which includes organic chemicals with amino alcohols and related compounds.","(ProductIdentifier) The specific product identified by HS code 2922110000 is amino alcohols, excluding those with multiple oxygenated functions, their ethers, and esters.","Amino alcohols, other than those containing more than one type of oxygenated function, their ethers and esters; salts of these products"
What is the first level of classification for Monoethanolamine and its salts in Moroccan customs tariff?,(HScodeFinder) The HS code for Monoethanolamine and its salts is 2901100000.,(ChapterClassifier) Chapter 29 is classified under the category of Organic chemicals.,(ProductIdentifier) Monoethanolamine and its salts are identified as organic chemicals in Chapter 29.,29 - Chapter 29: Organic chemicals
What is the specific HS code for Diethanolamine and its salts according to Moroccan customs?,(HScodeFinder) The HS code for Diethanolamine and its salts is HS:2922120000.,"(ChapterClassifier) The HS code HS:2922120000 falls under Chapter 29, which includes other amines and derivatives thereof.","(ProductIdentifier) Diethanolamine and its salts are classified as amines and their derivatives, specifically in Chapter 29.",HS:2922120000
Which chapter in the customs tariff classification does the HS code 2922120000 belong to?,"(HScodeFinder) The HS code 2922120000 is classified under Chapter 29, which covers organic chemicals.","(ChapterClassifier) Chapter 29 is designated for organic chemicals, including various derivatives and compounds.","(ProductIdentifier) The specific product under HS code 2922120000 is likely a derivative of organic chemicals, such as certain esters or related compounds.",Chapter 29: Organic chemicals
What type of organic chemicals are represented by the HS code 2922120000 in Moroccan customs tariff classification?,"(HScodeFinder) The HS code 2922120000 is classified under the chapter for organic chemicals, specifically diethanolamine and its salts.","(ChapterClassifier) The chapter classification for HS code 2922120000 falls under Chapter 29, which includes organic chemicals such as diethanolamine and its salts.",(ProductIdentifier) Diethanolamine and its salts are identified as the specific organic chemicals under HS code 2922120000 in Moroccan customs tariff classification.,Diethanolamine and its salts
Is Diethanolamine and its salts classified under Aminoalcohols in Moroccan customs tariff?,"(HScodeFinder) Diethanolamine and its salts are not classified under Aminoalcohols in Moroccan customs tariff. The HS code for Diethanolamine is 2901100000, which is classified under 'Other nitrogenous compounds' in Chapter 29.","(ChapterClassifier) Chapter 29 of the Moroccan customs tariff includes 'Other nitrogenous compounds', which encompasses Diethanolamine and its salts. This chapter is classified under the broader category of organic chemicals.",(ProductIdentifier) Diethanolamine is a chemical compound with the formula C2H8NO2. Its salts are derivatives of this compound and are classified under the same category as the parent molecule in the tariff.,"Diethanolamine and its salts may or may not be included in the category of Aminoalcohols, other than those containing more than one type of oxygenated function, their ethers and esters"
What is the specific HS code for Dextropropoxyphène (DCI) and its salts?,(HScodeFinder) The HS code for Dextropropoxyphène (DCI) and its salts is HS:2922140000.,"(ChapterClassifier) HS:2922140000 falls under Chapter 29, which covers organic chemicals.",(ProductIdentifier) Dextropropoxyphène (DCI) and its salts are classified as organic chemicals in Chapter 29.,HS:2922140000
In which chapter of the Moroccan customs tariff classification is the HS code 2922140000 classified?,(HScodeFinder) The HS code 2922140000 is identified as belonging to the category of Organic Chemicals.,"(ChapterClassifier) The HS code 2922140000 is classified under Chapter 29 of the Moroccan customs tariff classification, which covers Organic Chemicals.","(ProductIdentifier) Chapter 29 of the Moroccan customs tariff classification includes a wide range of organic chemicals, such as alcohols, esters, and other derivatives.",Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code 2922140000 represent in customs tariff classification?,"(HScodeFinder) The HS code 2922140000 is identified as a category of organic chemicals known as Amines with Oxygenated Functions, which includes compounds like Aminoalcohols, excluding those with multiple oxygenated functions and their derivatives.","(ChapterClassifier) The HS code 2922140000 falls under Chapter 29, which classifies organic chemicals, specifically those containing nitrogen, and is further detailed in Heading 2922, which includes amines and related compounds.","(ProductIdentifier) The specific products under HS code 2922140000 are Amines with Oxygenated Functions, such as Aminoalcohols, excluding those with multiple oxygenity functions and their ethers and esters, as outlined in the customs tariff classification.","Amines with Oxygenated Functions, such as Aminoalcohols, other than those containing more than one type of oxygenated function, their ethers and esters; salts of these products"
What is the first level of classification for Dextropropoxyphène (DCI) and its salts in customs tariff?,"(HScodeFinder) Dextropropoxyphène (DCI) and its salts are classified under HS code 2901100000, which falls under Chapter 29.","(ChapterClassifier) Chapter 29 is classified as Organic Chemicals, which includes compounds like Dextropropoxyphène and its salts.",(ProductIdentifier) Dextropropoxyphène (DCI) and its salts are identified as pharmaceuticals and fall under the category of organic chemicals in Chapter 29.,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Triethanolamine in Morocco's customs tariff?,(HScodeFinder) The HS code for Triethanolamine is HS:2922150000.,"(ChapterClassifier) Chapter 29 covers Organic chemicals, which includes Triethanolamine.","(ProductIdentifier) Triethanolamine is classified under Chapter 29, specifically in Heading 2922, which is for Amines, derivatives of ammonia, and other nitrogen-containing compounds.",HS:2922150000
In which chapter of Morocco's customs tariff is the HS code 2922150000 classified?,(HScodeFinder) The HS code 2922150000 is identified as belonging to the category of Organic Chemicals.,"(ChapterClassifier) The HS code 2922150000 is classified under Chapter 29 of Morocco's customs tariff, which covers Organic Chemicals.","(ProductIdentifier) Chapter 29 of Morocco's customs tariff includes a wide range of organic chemicals, such as alcohols, esters, and other derivatives.",Chapter 29: Organic Chemicals
What type of organic chemical does the HS code 2922150000 represent in Morocco's customs tariff?,"(HScodeFinder) The HS code 2922150000 is classified under the chapter for organic chemicals, specifically triethanolamine, which is a common compound used in various industrial applications.","(ChapterClassifier) The chapter classifier identifies that HS code 2922150000 falls under Chapter 29, which includes organic chemicals, particularly those containing nitrogen, such as triethanolamine.","(ProductIdentifier) The product identifier confirms that the HS code 2922150000 corresponds to triethanolamine, an organic chemical used in Morocco's customs tariff for industrial and commercial purposes.",Triethanolamine
What is the first level of classification for Triethanolamine in Morocco's customs tariff?,"(HScodeFinder) Triethanolamine is classified under HS code 2901100000, which falls under Chapter 29.","(ChapterClassifier) Chapter 29 is designated for Organic Chemicals, which includes compounds like Triethanolamine.",(ProductIdentifier) The product identifier for Triethanolamine is a chemical compound used in various industrial applications.,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Ammonium salt of perfluorooctanesulfonic acid di(ethanol)?,(HScodeFinder) The HS code for Ammonium salt of perfluorooctanesulfonic acid di(ethanol) is HS:2922160000.,"(ChapterClassifier) The HS code HS:2922160000 falls under Chapter 29, which covers inorganic chemicals.",(ProductIdentifier) The product Ammonium salt of perfluorooctanesulfonic acid di(ethanol) is identified as a chemical compound in Chapter 29.,HS:2922160000
In which chapter of the Moroccan customs tariff classification is the HS code HS:2922160000 included?,"(HScodeFinder) The HS code HS:2922160000 is classified under Chapter 29, which is dedicated to organic chemicals.","(ChapterClassifier) Chapter 29 of the Moroccan customs tariff classification is specifically allocated for organic chemicals, including a wide range of compounds such as alcohols, esters, and other derivatives.","(ProductIdentifier) The HS code HS:2922160000 falls under Chapter 29 of the Moroccan customs tariff classification, which encompasses various organic chemical substances.",Chapter 29: Organic chemicals
What type of chemical is referred to by the HS code HS:2922160000 in the Moroccan customs tariff classification?,"(HScodeFinder) The HS code HS:2922160000 is classified under Chapter 29, which includes organic chemicals, including those derived from petroleum.","(ChapterClassifier) Chapter 29 of the Moroccan customs tariff classification includes organic chemicals, specifically those derived from petroleum, which aligns with the HS code HS:2922160000.","(ProductIdentifier) The HS code HS:2922160000 refers to Ammonium salt of perfluorooctanesulfonic acid di(ethanol), a specific type of organic chemical.",Ammonium salt of perfluorooctanesulfonic acid di(ethanol)
What is the higher level classification for Ammonium salt of perfluorooctanesulfonic acid di(ethanol) in Moroccan customs tariff?,(HScodeFinder) The HS code for Ammonium salt of perfluorooctanesulfonic acid di(ethanol) is HS:2901100000.,"(ChapterClassifier) The HS code HS:2901100000 falls under Chapter 29, which is classified as Organic chemicals.",(ProductIdentifier) Ammonium salt of perfluorooctanesulfonic acid di(ethanol) is identified as a chemical compound under Chapter 29 of the Moroccan customs tariff.,'HS:29' - Chapter 29: Organic chemicals
What is the specific HS code for Methyldiethanolamine and Ethyldiethanolamine?,(HScodeFinder) The HS code for Methyldiethanolamine and Ethyldiethanolitylene is HS:2922170000.,"(ChapterClassifier) Chapter 29 covers organic chemicals, which includes amines and related compounds.","(ProductIdentifier) Methyldiethanolamine and Ethyldiethanolamine are both classified under Chapter 29, specifically in Heading 2922, which deals with amines and derivatives.",HS:2922170000
Which chapter in the customs tariff classification does the HS code 2922170000 belong to?,"(HScodeFinder) The HS code 2922170000 is classified under Chapter 29, which is dedicated to organic chemicals.",(ChapterClassifier) Chapter 29 in the customs tariff classification is specifically for organic chemicals.,"(ProductIdentifier) The HS code 2922170000 belongs to Chapter 29, which is categorized under organic chemicals.",Chapter 29: Organic chemicals
What type of amines are represented by the HS code 2922170000 in customs tariff classification?,"(HScodeFinder) The HS code 2922170000 is classified under the chapter for amines with oxygenated functions, specifically aminoalcohols.","(ChapterClassifier) The chapter classification for HS code 2922170000 falls under Chapter 29, which includes amines and other nitrogen-containing organic compounds.","(ProductIdentifier) The product identified by HS code 2922170000 is aminoalcohols, which are amines with oxygenated functions, excluding those with multiple oxygenated functions or their derivatives.","Amines with oxygenated functions - Aminoalcohols, other than those containing more than one type of oxygenated function, their ethers and esters; salts of these products"
What is the first level of classification for Methyldiethanolamine and Ethyldiethanolamine in customs tariff?,(HScodeFinder) The HS code for Methyldiethanolamine is 2901100000 and for Ethyldiethanolamine is 2901200000.,"(ChapterClassifier) Both Methyldiethanolamine and Ethyldiethitylamine are classified under Chapter 29, which covers organic chemicals.",(ProductIdentifier) Chapter 29 is the first level of classification for both Methyldiethanolamine and Ethyldiethanolamine in the customs tariff.,29 - Chapter 29: Organic chemicals
"What is the HS code for 2(N,NDiisopropylamino)ethanol according to Morocco's customs tariff?","(HScodeFinder) The HS code for 2(N,NDiisopropylamino)ethanol is HS:2922180000.","(ChapterClassifier) HS:2922180000 falls under Chapter 29, which includes other nitrogenous compounds.","(ProductIdentifier) 2(N,NDiisopropylamino)ethanol is identified as a nitrogenous compound in Chapter 29.",HS:2922180000
"Is 2(N,NDiisopropylamino)ethanol classified as an amino alcohol in Morocco's customs tariff?","(HScodeFinder) The HS code for 2(N,NDiisopropylamino)ethanol is HS:2901100000, which is classified under Chapter 29, which includes amino alcohols and related compounds.","(ChapterClassifier) Chapter 29 of Morocco's customs tariff includes amino alcohols, which aligns with the classification of 2(N,NDiisopropylamino)ethanol.","(ProductIdentifier) 2(N,NDiisopropylamino)ethanol is identified as an amino alcohol based on its chemical structure and is classified under Chapter 29 of the Moroccan customs tariff.",Yes
Does the HS code 'HS:2922180000' fall under Chapter 29 of Morocco's customs tariff for Organic chemicals?,"(HScodeFinder) The HS code 'HS:2922180000' is classified under Chapter 29, which pertains to Organic chemicals in Morocco's customs tariff.","(ChapterClassifier) Chapter 29 of Morocco's customs tariff is designated for Organic chemicals, confirming that the HS code falls under this chapter.","(ProductIdentifier) The HS code 'HS:2922180000' specifically identifies a type of Organic chemical, aligning with the classification under Chapter 29.",Yes
"Is 2(N,NDiisopropylamino)ethanol included in the category of amino alcohols with only one type of oxygenated function in Morocco's customs tariff?","(HScodeFinder) The HS code for 2(N,NDiisopropylamino)ethanol is HS:2901100000, which is classified under the chapter of organic chemicals.","(ChapterClassifier) Chapter 29 of the Moroccan customs tariff includes amino alcohols with a single oxygenated function, which aligns with the classification of 2(N,NDiisopropylamino)ethanol.","(ProductIdentifier) 2(N,NDiisopropylamino)ethanol is identified as an amino alcohol with a single oxygenated function, fitting within the specified category in Morocco's customs tariff.",Yes
"What is the specific HS code for N,N-dimethyl-2-aminoethanol and its protonated salts?","(HScodeFinder) The HS code HS:2922190011 is specifically designated for N,N-dimethyl-2-aminoethanol and its protonated salts, which are classified under the chapter of amino compounds and derivatives.","(ChapterClassifier) The chapter classification for HS:2922190011 falls under Chapter 29, which pertains to organic chemicals, specifically amino compounds and their derivatives.","(ProductIdentifier) N,N-dimethyl-2-aminoethanol and its protonated salts are identified as a specific product under HS code 2922190211, which is part of the broader category of amino compounds and derivatives.",HS:2922190011
